Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol,Days
Squeeze Breakout,111732.95,11732.95,11.73,2,1,1,50.0,10.45,13.0,0.0,GPECO-ST,102
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],98885.5,-1114.5,-1.11,1,0,1,0.0,5.02,25.0,0.0,HAL,114
Keltner 5-Rule Retracement,98885.5,-1114.5,-1.11,1,0,1,0.0,5.02,25.0,0.0,HAL,114
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,HAL,114
Keltner Breakout (ATR 1.5),95228.92,-4771.08,-4.77,3,1,2,33.33,10.38,31.0,0.0,HAL,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,HAL,114
Squeeze Breakout,101018.9,1018.9,1.02,2,1,1,50.0,5.01,31.0,0.0,HAL,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],91561.98,-8438.02,-8.44,2,0,2,0.0,9.23,91.0,0.0,HINDCOPPER,114
Keltner 5-Rule Retracement,91561.98,-8438.02,-8.44,2,0,2,0.0,9.23,91.0,0.0,HINDCOPPER,114
Keltner + EMA Cross,96197.76,-3802.24,-3.8,1,0,1,0.0,9.38,21.0,0.0,HINDCOPPER,114
Keltner Breakout (ATR 1.5),90993.87,-9006.13,-9.01,2,0,2,0.0,10.49,91.0,0.0,HINDCOPPER,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,HINDCOPPER,114
Squeeze Breakout,91561.98,-8438.02,-8.44,2,0,2,0.0,9.23,91.0,0.0,HINDCOPPER,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],83834.94,-16165.06,-16.17,3,0,3,0.0,16.17,92.0,0.0,HINDZINC,114
Keltner 5-Rule Retracement,80006.93,-19993.07,-19.99,3,0,3,0.0,19.99,92.0,0.0,HINDZINC,114
Keltner + EMA Cross,98610.54,-1389.46,-1.39,1,0,1,0.0,9.4,19.0,0.0,HINDZINC,114
Keltner Breakout (ATR 1.5),90396.15,-9603.85,-9.6,3,0,3,0.0,10.74,91.0,0.0,HINDZINC,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,HINDZINC,114
Squeeze Breakout,98863.44,-1136.56,-1.14,1,0,1,0.0,6.82,32.0,0.0,HINDZINC,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],91987.3,-8012.7,-8.01,2,0,2,0.0,14.06,85.0,0.0,JINDRILL,114
Keltner 5-Rule Retracement,91688.47,-8311.53,-8.31,2,0,2,0.0,14.48,85.0,0.0,JINDRILL,114
Keltner + EMA Cross,90393.54,-9606.46,-9.61,1,0,1,0.0,13.78,11.0,0.0,JINDRILL,114
Keltner Breakout (ATR 1.5),84883.53,-15116.47,-15.12,4,0,4,0.0,20.48,85.0,0.0,JINDRILL,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,JINDRILL,114
Squeeze Breakout,91987.3,-8012.7,-8.01,2,0,2,0.0,14.06,85.0,0.0,JINDRILL,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],102820.95,2820.95,2.82,2,1,0,50.0,9.21,51.0,0.0,JSWINFRA,114
Keltner 5-Rule Retracement,100918.13,918.13,0.92,3,1,1,33.33,10.89,51.0,0.0,JSWINFRA,114
Keltner + EMA Cross,112162.06,12162.06,12.16,2,1,1,50.0,9.47,51.0,0.0,JSWINFRA,114
Keltner Breakout (ATR 1.5),102358.91,2358.91,2.36,3,1,1,33.33,12.54,51.0,0.0,JSWINFRA,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,JSWINFRA,114
